Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
SNP,2006-07-25,0.51,0.53,0.51,0.525,3512500
SNP,2006-07-26,0.535,0.545,0.525,0.545,7757000
SNP,2006-07-27,0.55,0.565,0.55,0.555,7566500
SNP,2006-07-28,0.56,0.57,0.555,0.56,4553000
SNP,2006-07-31,0.56,0.56,0.545,0.55,4797500
SNP,2006-08-01,0.55,0.555,0.54,0.54,4590500
SNP,2006-08-02,0.545,0.545,0.52,0.525,6786000
SNP,2006-08-03,0.525,0.535,0.52,0.52,5634500
SNP,2006-08-04,0.52,0.525,0.515,0.52,6186500
SNP,2006-08-07,0.52,0.53,0.52,0.525,1245000
SNP,2006-08-08,0.52,0.535,0.52,0.535,4624000
SNP,2006-08-09,0.54,0.555,0.54,0.55,8499500
SNP,2006-08-10,0.55,0.56,0.55,0.555,8392500
SNP,2006-08-11,0.55,0.555,0.545,0.55,5435500
SNP,2006-08-14,0.545,0.555,0.545,0.55,1900000
SNP,2006-08-15,0.55,0.55,0.545,0.55,4873500
SNP,2006-08-16,0.555,0.565,0.55,0.565,12576500
SNP,2006-08-17,0.565,0.565,0.545,0.545,12092000
SNP,2006-08-18,0.545,0.55,0.54,0.545,4034000
SNP,2006-08-21,0.545,0.555,0.545,0.55,5615000
SNP,2006-08-22,0.545,0.55,0.545,0.55,3534000
SNP,2006-08-23,0.545,0.545,0.54,0.54,2239000
SNP,2006-08-24,0.54,0.55,0.54,0.54,6484500
SNP,2006-08-25,0.54,0.545,0.535,0.54,10842000
SNP,2006-08-28,0.54,0.545,0.535,0.54,1983500
SNP,2006-08-29,0.54,0.545,0.535,0.535,3328500
SNP,2006-08-30,0.545,0.565,0.535,0.555,32673500
SNP,2006-08-31,0.555,0.57,0.545,0.555,12063500
SNP,2006-09-01,0.555,0.555,0.545,0.55,11710500
SNP,2006-09-04,0.55,0.56,0.545,0.55,4288000
SNP,2006-09-05,0.55,0.555,0.54,0.55,7772500
SNP,2006-09-06,0.545,0.55,0.535,0.545,4304500
SNP,2006-09-07,0.545,0.55,0.54,0.545,4798000
SNP,2006-09-08,0.54,0.56,0.54,0.555,2731500
SNP,2006-09-11,0.55,0.56,0.545,0.55,5340500
SNP,2006-09-12,0.545,0.55,0.54,0.55,2413500
SNP,2006-09-13,0.545,0.55,0.54,0.545,4917500
SNP,2006-09-14,0.545,0.545,0.54,0.54,1261500
SNP,2006-09-15,0.54,0.545,0.535,0.535,6126000
SNP,2006-09-18,0.54,0.545,0.535,0.535,5267500
SNP,2006-09-19,0.54,0.55,0.54,0.55,7155500
SNP,2006-09-20,0.55,0.555,0.545,0.55,6677400
SNP,2006-09-21,0.545,0.55,0.545,0.55,2799200
SNP,2006-09-22,0.545,0.55,0.54,0.545,2406900
SNP,2006-09-25,0.545,0.55,0.54,0.54,5242800
SNP,2006-09-26,0.55,0.555,0.54,0.54,4596500
SNP,2006-09-27,0.545,0.55,0.545,0.55,1931000
SNP,2006-09-28,0.55,0.57,0.55,0.56,14631800
SNP,2006-09-29,0.565,0.57,0.555,0.56,6062100
SNP,2006-10-02,0.56,0.575,0.56,0.575,4126600
SNP,2006-10-03,0.58,0.595,0.575,0.59,16611800
SNP,2006-10-04,0.59,0.615,0.59,0.61,11770800
SNP,2006-10-05,0.61,0.615,0.595,0.6,5871200
SNP,2006-10-06,0.6,0.605,0.59,0.605,4727600
SNP,2006-10-09,0.6,0.605,0.59,0.595,7442700
SNP,2006-10-10,0.595,0.6,0.585,0.595,7020300
SNP,2006-10-11,0.585,0.6,0.58,0.585,16052400
SNP,2006-10-12,0.585,0.595,0.585,0.595,6691600
SNP,2006-10-13,0.595,0.6,0.585,0.59,11694900
SNP,2006-10-16,0.595,0.605,0.59,0.605,10236100
SNP,2006-10-17,0.605,0.63,0.605,0.625,6277900
SNP,2006-10-18,0.625,0.63,0.615,0.62,7768100
SNP,2006-10-19,0.61,0.62,0.61,0.62,4432800
SNP,2006-10-20,0.61,0.615,0.61,0.61,1985100
SNP,2006-10-23,0.61,0.61,0.595,0.605,10382900
SNP,2006-10-24,0.605,0.605,0.6,0.6,1576800
SNP,2006-10-25,0.6,0.615,0.6,0.61,4932700
SNP,2006-10-26,0.61,0.615,0.605,0.61,3883800
SNP,2006-10-27,0.605,0.61,0.6,0.6,2738200
SNP,2006-10-30,0.6,0.61,0.595,0.6,28034100
SNP,2006-10-31,0.595,0.63,0.595,0.63,8681700
SNP,2006-11-01,0.64,0.64,0.61,0.615,7530900
SNP,2006-11-02,0.615,0.625,0.615,0.62,2083700
SNP,2006-11-03,0.62,0.625,0.61,0.615,1733800
SNP,2006-11-06,0.615,0.625,0.615,0.62,2409600
SNP,2006-11-07,0.62,0.62,0.605,0.61,10665500
SNP,2006-11-08,0.61,0.61,0.59,0.59,6590700
SNP,2006-11-09,0.59,0.61,0.59,0.605,2469200
SNP,2006-11-10,0.6,0.62,0.6,0.615,5360300
SNP,2006-11-13,0.615,0.62,0.605,0.61,2545700
SNP,2006-11-14,0.605,0.61,0.6,0.61,3675700
SNP,2006-11-15,0.615,0.615,0.59,0.595,12784200
SNP,2006-11-16,0.59,0.59,0.57,0.57,11785100
SNP,2006-11-17,0.57,0.6,0.56,0.6,7571400
SNP,2006-11-20,0.58,0.6,0.58,0.595,10176900
SNP,2006-11-21,0.595,0.595,0.575,0.575,3589000
SNP,2006-11-22,0.58,0.58,0.57,0.57,4132900
SNP,2006-11-23,0.565,0.565,0.55,0.565,5858900
SNP,2006-11-24,0.555,0.57,0.55,0.565,4074700
SNP,2006-11-27,0.565,0.58,0.565,0.575,2760000
SNP,2006-11-28,0.575,0.58,0.565,0.57,11160800
SNP,2006-11-29,0.565,0.58,0.565,0.57,6575100
SNP,2006-11-30,0.57,0.595,0.57,0.59,7485100
SNP,2006-12-04,0.585,0.59,0.575,0.58,9044800
SNP,2006-12-05,0.575,0.58,0.57,0.575,2560700
